entry_date,expiry,strike,contracts,entry_premium_usd,final_pnl_usd,index_at_entry
2020-01-01 00:00:00+00:00,2020-01-31 08:00:00+00:00,7000.0,46.45262227375366,42407.96134306198,-8208.769470271201,7175.77
2020-02-01 00:00:00+00:00,2020-02-28 08:00:00+00:00,9500.0,35.45612712014344,40088.77595711328,-5866.703907455687,9401.29
2020-03-01 00:00:00+00:00,2020-03-27 08:00:00+00:00,8500.0,39.02359835039445,39426.15156112794,-71081.32490921137,8541.84
2020-04-01 00:00:00+00:00,2020-04-24 08:00:00+00:00,6500.0,52.912110603243036,62783.66151961129,15576.327847889717,6299.755
2020-05-01 00:00:00+00:00,2020-05-29 08:00:00+00:00,8500.0,38.37288234452172,56654.38585674686,3931.6040705143414,8686.689999999999
2020-06-01 00:00:00+00:00,2020-06-26 08:00:00+00:00,9500.0,35.189973954140775,46549.36381797038,14219.263325330467,9472.395
2020-07-01 00:00:00+00:00,2020-07-31 08:00:00+00:00,9000.0,36.475776163481505,39591.807660124265,11410.208652730642,9138.485
2020-08-01 00:00:00+00:00,2020-08-28 08:00:00+00:00,11500.0,28.896005011723112,35119.09298722321,8383.701726804471,11535.619999999999
2020-09-01 00:00:00+00:00,2020-09-25 08:00:00+00:00,11500.0,28.735718886508135,35119.0929872232,-5435.80276630658,11599.965
2020-10-01 00:00:00+00:00,2020-10-23 08:00:00+00:00,10750.0,30.861597155548317,23854.47825547237,2804.869715132842,10800.91
2020-11-01 00:00:00+00:00,2020-11-27 08:00:00+00:00,14000.0,24.153915512743545,39260.4954621316,-10350.997719098277,13800.385
2020-12-01 00:00:00+00:00,2020-12-25 08:00:00+00:00,20000.0,17.028635864929544,62121.03712362596,6017.851640903547,19574.87
2021-01-01 00:00:00+00:00,2021-01-22 08:00:00+00:00,29000.0,11.390870900425565,55494.79316377251,-18290.48126396331,29263.199999999997
2021-02-01 00:00:00+00:00,2021-02-26 08:00:00+00:00,34000.0,10.138245110324382,80343.20801322289,-5597.537842997104,32878.8
2021-03-02 00:00:00+00:00,2021-03-26 08:00:00+00:00,46000.0,6.939486326037123,86638.13977508365,29343.14704897047,48034.295
2021-04-01 00:00:00+00:00,2021-04-30 08:00:00+00:00,60000.0,5.654130610982527,56157.41755975784,9877.21740053157,58953.95
2021-05-01 00:00:00+00:00,2021-05-28 08:00:00+00:00,56000.0,5.731449440291007,47211.988213955716,-29156.74659877585,58158.645000000004
2021-06-01 00:00:00+00:00,2021-06-25 08:00:00+00:00,36000.0,8.867805975775017,65102.84690556,-8641.424168658199,37589.155
2021-07-01 00:00:00+00:00,2021-07-30 08:00:00+00:00,35000.0,9.684560781199284,70403.84207344273,23880.449409675286,34419.045
2021-08-01 00:00:00+00:00,2021-08-27 08:00:00+00:00,42000.0,7.9686624380959445,56323.07365875418,6173.814841716024,41830.525
2021-09-01 00:00:00+00:00,2021-09-24 08:00:00+00:00,48000.0,7.0559766503620684,56323.07365875418,2096.363818330983,47241.275
2021-10-01 00:00:00+00:00,2021-10-22 08:00:00+00:00,44000.0,7.505703771938891,45721.0833229887,-13814.328021471862,44410.67
2021-11-01 00:00:00+00:00,2021-11-26 08:00:00+00:00,62000.0,5.525814241852346,60133.163935669916,15940.42611014744,60322.935
2021-12-02 00:00:00+00:00,2021-12-24 08:00:00+00:00,58000.0,5.895388859701802,51022.07849087145,33.131233740817834,56541.365
2022-01-01 00:00:00+00:00,2022-01-28 08:00:00+00:00,46000.0,7.088519338384541,49365.51750090808,11188.792537877216,47024.395000000004
2022-02-01 00:00:00+00:00,2022-02-25 08:00:00+00:00,38000.0,8.577967310824835,43401.897937040005,-5973.027833683883,38859.244999999995
2022-03-01 00:00:00+00:00,2022-03-25 08:00:00+00:00,44000.0,7.669512132362894,48702.89310492276,15185.949029657237,43462.130000000005
2022-04-01 00:00:00+00:00,2022-04-22 08:00:00+00:00,46000.0,7.332824435317523,41910.993046072974,8345.282798102442,45457.7
2022-05-01 00:00:00+00:00,2022-05-27 08:00:00+00:00,38000.0,8.817781126183197,36775.65397718656,-19991.725754119965,37802.405
2022-06-01 00:00:00+00:00,2022-06-24 08:00:00+00:00,32000.0,10.520507361988038,42242.30524406564,-11952.739315603996,31684.15
2022-07-01 00:00:00+00:00,2022-07-29 08:00:00+00:00,20000.0,16.83058393121879,62286.69322262229,7909.582972530523,19805.215
2022-08-01 00:00:00+00:00,2022-08-26 08:00:00+00:00,23000.0,14.288667957504929,52512.983381838465,13256.516432277336,23328.510000000002
2022-09-01 00:00:00+00:00,2022-09-30 08:00:00+00:00,20000.0,16.577735405086084,51850.358985853134,12708.417110892562,20107.29
2022-10-01 00:00:00+00:00,2022-10-28 08:00:00+00:00,19000.0,17.19171895527987,47046.3321149594,22853.778068595933,19389.18
2022-11-01 00:00:00+00:00,2022-11-25 08:00:00+00:00,20000.0,16.252979577481042,36775.65397718657,-25322.13445382539,20509.06
2022-12-01 00:00:00+00:00,2022-12-30 08:00:00+00:00,17000.0,19.403484497149485,42573.61744205832,26616.331602907016,17179.045
2023-01-01 00:00:00+00:00,2023-01-27 08:00:00+00:00,17000.0,20.173337384139483,29983.75391833679,-5789.268291928733,16523.46
2023-02-01 00:00:00+00:00,2023-02-24 08:00:00+00:00,23000.0,14.417896531263155,36444.34177919389,-5353.845037673274,23119.415
2023-03-01 00:00:00+00:00,2023-03-31 08:00:00+00:00,23000.0,14.380346208273,36113.02958120122,-25444.205781251658,23179.785
2023-04-01 00:00:00+00:00,2023-04-28 08:00:00+00:00,28000.0,11.664175781928435,38432.214967149914,6183.3335395373115,28577.53
2023-05-01 00:00:00+00:00,2023-05-26 08:00:00+00:00,29000.0,11.5361310181472,38597.871066146254,14696.69139789279,28894.725
2023-06-01 00:00:00+00:00,2023-06-30 08:00:00+00:00,27000.0,12.258924420359744,29818.097819340455,-14970.578585893112,27191.075
2023-07-01 00:00:00+00:00,2023-07-21 08:00:00+00:00,30500.0,10.963705912403169,25014.070948446715,10695.092064861808,30403.345
2023-08-01 00:00:00+00:00,2023-08-25 08:00:00+00:00,29000.0,11.383753914659527,21700.94896852,-6461.628551581796,29281.495
2023-09-01 00:00:00+00:00,2023-09-29 08:00:00+00:00,26000.0,12.820714993326177,24020.134354468704,6921.850715949718,25999.59
2023-10-01 00:00:00+00:00,2023-10-27 08:00:00+00:00,27000.0,12.295402201971285,21700.94896852,-9807.465416178862,27110.405
2023-11-01 00:00:00+00:00,2023-11-24 08:00:00+00:00,35000.0,9.637529619742597,34125.15639324519,-2612.333138061363,34587.009999999995
2023-12-01 00:00:00+00:00,2023-12-22 08:00:00+00:00,37500.0,8.765083832767813,29155.473423355117,-8711.24210030702,38029.67999999999
2024-01-01 00:00:00+00:00,2024-01-26 08:00:00+00:00,42000.0,7.779986645652924,46350.57649917478,5903.116273164462,42844.975
